SQL Top 25 problems,,,,,
Day,Question Number,Questions,Solved Date,Solved/Pending/Gone Wrong,Remarks
1,1,Recyclable and Low Fat Products,06-02-2026,Solved,
,2,Find Customer Referee,,Solved,
,3,Big Countries,Re-solved 07-02-2026,Gone Wrong,Need to read question clearly
2,4,Article Views I,07-02-2026,Solved,
,5,Invalid Tweets,,Solved,
,6,Replace Employee ID With The Unique Identifier,,Solved,
,7,Product Sales Analysis I,,Solved,
,8,,,,
,9,,,,
,10,,,,
,11,,,,
,12,,,,
,13,,,,
,14,,,,
,15,,,,
,16,,,,
,17,,,,
,18,,,,
,19,,,,
,20,,,,
,21,,,,
,22,,,,
,23,,,,
,24,,,,
,25,,,,
